timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:46.125626,61,59,155,156,60,58,0
2026-08-18T15:56:46.129662,63,61,156,155,59,58,0
2026-08-18T15:56:46.129662,64,63,156,156,59,59,0
2026-08-18T15:56:46.129662,62,62,156,156,59,59,0
2026-08-18T15:56:46.133337,62,60,156,155,61,58,0
2026-08-18T15:56:46.134068,63,61,157,156,60,58,0
2026-08-18T15:56:46.134068,63,61,157,156,59,60,0
2026-08-18T15:56:46.137423,62,62,156,156,59,61,0
2026-08-18T15:56:46.138403,61,62,157,156,59,59,0
2026-08-18T15:56:46.138403,62,61,157,155,59,59,0
2026-08-18T15:56:46.141404,63,60,156,156,59,59,0
2026-08-18T15:56:46.142420,62,61,156,156,59,59,0
2026-08-18T15:56:46.142420,63,61,156,156,60,59,0
2026-08-18T15:56:46.145403,64,63,156,156,60,59,0
2026-08-18T15:56:46.146407,63,61,157,156,60,58,0
2026-08-18T15:56:46.146407,62,60,157,156,60,59,0
2026-08-18T15:56:46.149764,64,61,156,155,59,59,0
2026-08-18T15:56:46.150377,62,62,156,155,58,57,0
2026-08-18T15:56:46.150377,62,61,156,155,60,59,0
2026-08-18T15:56:46.153521,63,61,156,156,58,59,0
2026-08-18T15:56:46.154522,62,62,156,156,60,58,0
2026-08-18T15:56:46.154522,62,60,157,156,60,60,0
2026-08-18T15:56:46.158340,63,60,156,156,59,59,0
2026-08-18T15:56:46.158340,64,61,156,155,59,59,0
2026-08-18T15:56:46.158340,63,61,155,156,60,59,0
2026-08-18T15:56:46.162337,63,62,156,156,60,60,0
2026-08-18T15:56:46.162337,63,61,156,156,58,57,0
2026-08-18T15:56:46.162337,62,61,155,156,60,58,0
2026-08-18T15:56:46.166323,63,62,156,156,58,60,0
2026-08-18T15:56:46.167007,61,62,157,156,60,59,0
2026-08-18T15:56:46.167007,63,61,156,156,60,58,0
2026-08-18T15:56:46.169804,63,62,156,156,58,59,0
2026-08-18T15:56:46.170814,62,62,157,156,60,58,0
2026-08-18T15:56:46.170814,62,60,155,156,59,58,0
2026-08-18T15:56:46.174810,63,61,157,156,59,58,0
2026-08-18T15:56:46.174810,61,62,156,156,60,58,0
2026-08-18T15:56:46.174810,63,60,156,156,60,61,0
2026-08-18T15:56:46.178817,63,61,156,156,59,58,0
2026-08-18T15:56:46.178817,62,62,156,156,60,59,0
2026-08-18T15:56:46.179811,62,60,155,156,60,60,0
2026-08-18T15:56:46.182887,62,62,156,156,60,60,0
2026-08-18T15:56:46.182887,62,62,156,157,59,60,0
2026-08-18T15:56:46.183393,62,60,156,156,60,59,0
2026-08-18T15:56:46.187091,61,63,156,156,58,59,0
2026-08-18T15:56:46.187091,61,61,156,156,58,58,0
2026-08-18T15:56:46.187091,63,61,155,155,61,59,0
2026-08-18T15:56:46.191080,63,62,156,156,60,59,0
2026-08-18T15:56:46.191080,62,61,157,155,60,60,0
2026-08-18T15:56:46.191080,61,61,156,157,59,58,0
2026-08-18T15:56:46.195091,63,63,156,156,58,59,0
2026-08-18T15:56:46.195091,62,61,156,156,60,58,0
2026-08-18T15:56:46.196075,62,60,156,156,59,60,0
2026-08-18T15:56:46.199088,61,63,156,156,60,59,0
2026-08-18T15:56:46.200158,62,60,157,156,60,59,0
2026-08-18T15:56:46.200158,61,62,156,157,60,59,0
2026-08-18T15:56:46.203369,63,61,156,156,59,59,0
2026-08-18T15:56:46.203369,62,61,156,156,59,60,0
2026-08-18T15:56:46.204356,62,61,157,156,59,58,0
2026-08-18T15:56:46.207369,63,61,156,156,59,61,0
2026-08-18T15:56:46.207369,62,61,156,156,60,58,0
2026-08-18T15:56:46.208356,62,60,156,156,59,60,0
2026-08-18T15:56:46.211376,61,61,155,157,60,59,0
2026-08-18T15:56:46.211376,61,60,156,155,60,60,0
2026-08-18T15:56:46.212359,62,62,156,156,60,58,0
2026-08-18T15:56:46.213356,61,61,156,155,59,59,0
2026-08-18T15:56:46.215372,61,63,155,155,59,59,0
2026-08-18T15:56:46.216783,63,60,156,155,59,59,0
2026-08-18T15:56:46.216783,61,61,157,156,60,60,0
2026-08-18T15:56:46.219914,62,60,157,156,58,58,0
2026-08-18T15:56:46.219914,63,62,156,155,59,58,0
2026-08-18T15:56:46.220899,61,63,156,157,59,58,0
2026-08-18T15:56:46.223913,62,61,156,155,59,59,0
2026-08-18T15:56:46.223913,62,63,156,156,59,58,0
2026-08-18T15:56:46.224899,60,61,157,156,60,59,0
2026-08-18T15:56:46.227911,62,61,157,155,60,59,0
2026-08-18T15:56:46.227911,63,60,156,156,60,58,0
2026-08-18T15:56:46.228898,61,61,156,157,60,58,0
2026-08-18T15:56:46.230911,60,60,156,156,61,58,0
2026-08-18T15:56:46.232435,63,61,156,156,59,59,0
2026-08-18T15:56:46.233457,61,61,156,156,60,60,0
2026-08-18T15:56:46.235191,61,61,155,155,59,59,0
2026-08-18T15:56:46.236357,63,60,156,156,60,58,0
2026-08-18T15:56:46.237339,62,61,157,156,60,59,0
2026-08-18T15:56:46.240238,62,62,156,155,60,58,0
2026-08-18T15:56:46.240238,63,60,156,156,58,61,0
2026-08-18T15:56:46.241257,61,61,155,157,60,58,0
2026-08-18T15:56:46.244263,62,61,156,155,59,59,0
2026-08-18T15:56:46.244263,61,62,156,156,60,58,0
2026-08-18T15:56:46.245253,61,62,156,157,60,59,0
2026-08-18T15:56:46.248263,62,59,156,156,59,58,0
2026-08-18T15:56:46.248263,63,61,156,156,59,59,0
2026-08-18T15:56:46.249265,61,61,157,157,61,60,0
2026-08-18T15:56:46.252137,62,60,156,155,59,59,0
2026-08-18T15:56:46.253254,63,61,156,156,58,58,0
2026-08-18T15:56:46.254251,62,62,155,156,60,59,0
2026-08-18T15:56:46.256609,62,61,155,156,60,60,0
2026-08-18T15:56:46.256609,63,62,156,155,59,58,0
2026-08-18T15:56:46.257627,62,60,157,156,60,60,0
2026-08-18T15:56:46.260714,61,61,156,155,60,60,0
2026-08-18T15:56:46.260714,61,62,157,156,58,59,0
2026-08-18T15:56:46.261743,62,60,156,157,60,59,0
2026-08-18T15:56:46.264817,62,60,156,156,58,61,0
2026-08-18T15:56:46.264817,63,63,155,156,58,60,0
2026-08-18T15:56:46.266445,62,61,155,155,59,60,0
2026-08-18T15:56:46.268596,63,61,156,156,59,58,0
